C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\Mybatis-PageHelper-master\pom.xml;Dependency {groupId=org.mybatis, artifactId=mybatis, version=3.5.7, type=jar};USED;31
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\Mybatis-PageHelper-master\pom.xml;Dependency {groupId=com.github.jsqlparser, artifactId=jsqlparser, version=4.0, type=jar};USED;15
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\Mybatis-PageHelper-master\pom.xml;Dependency {groupId=junit, artifactId=junit, version=4.13.2, type=jar};USED;4
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\Mybatis-PageHelper-master\pom.xml;Dependency {groupId=com.google.guava, artifactId=guava, version=19.0, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\Mybatis-PageHelper-master\pom.xml;Dependency {groupId=org.hsqldb, artifactId=hsqldb, version=2.2.9, type=jar};UNUSED
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\Mybatis-PageHelper-master\pom.xml;Dependency {groupId=log4j, artifactId=log4j, version=1.2.17, type=jar};UNUSED
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-admin\pom.xml;Dependency {groupId=com.macro.mall, artifactId=mall-mbg, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-admin\pom.xml;Dependency {groupId=com.macro.mall, artifactId=mall-security, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\pom.xml;Dependency {groupId=cn.hutool, artifactId=hutool-all, version=null, type=jar};USED;3
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\pom.xml;Dependency {groupId=org.projectlombok, artifactId=lombok, version=null, type=jar};USED;5
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-admin\pom.xml;Dependency {groupId=com.aliyun.oss, artifactId=aliyun-sdk-oss, version=null, type=jar};USED;4
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-admin\pom.xml;Dependency {groupId=io.minio, artifactId=minio, version=null, type=jar};USED;2
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-common\pom.xml;Dependency {groupId=net.logstash.logback, artifactId=logstash-logback-encoder, version=null, type=jar};USED;3
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-common\pom.xml;Dependency {groupId=org.springframework.data, artifactId=spring-data-commons, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-common\pom.xml;Dependency {groupId=com.github.pagehelper, artifactId=pagehelper, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-common\pom.xml;Dependency {groupId=org.springframework.boot, artifactId=spring-boot-starter-data-redis, version=null, type=jar};UNUSED
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-common\pom.xml;Dependency {groupId=io.springfox, artifactId=springfox-swagger-ui, version=null, type=jar};UNUSED
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-common\pom.xml;Dependency {groupId=org.springframework.boot, artifactId=spring-boot-starter-validation, version=null, type=jar};UNUSED
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-common\pom.xml;Dependency {groupId=org.springframework.boot, artifactId=spring-boot-starter-web, version=null, type=jar};UNUSED
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-common\pom.xml;Dependency {groupId=io.springfox, artifactId=springfox-swagger2, version=null, type=jar};UNUSED
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-demo\pom.xml;Dependency {groupId=com.macro.mall, artifactId=mall-mbg, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-demo\pom.xml;Dependency {groupId=net.logstash.logback, artifactId=logstash-logback-encoder, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-demo\pom.xml;Dependency {groupId=org.springframework.boot, artifactId=spring-boot-starter-thymeleaf, version=null, type=jar};UNUSED
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-demo\pom.xml;Dependency {groupId=org.springframework.boot, artifactId=spring-boot-starter-security, version=null, type=jar};UNUSED
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-mbg\pom.xml;Dependency {groupId=com.macro.mall, artifactId=mall-common, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-mbg\pom.xml;Dependency {groupId=org.mybatis.generator, artifactId=mybatis-generator-core, version=null, type=jar};USED;11
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-mbg\pom.xml;Dependency {groupId=com.alibaba, artifactId=druid-spring-boot-starter, version=null, type=jar};UNUSED
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-mbg\pom.xml;Dependency {groupId=mysql, artifactId=mysql-connector-java, version=null, type=jar};UNUSED
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-mbg\pom.xml;Dependency {groupId=com.github.pagehelper, artifactId=pagehelper-spring-boot-starter, version=null, type=jar};UNUSED
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-portal\pom.xml;Dependency {groupId=com.macro.mall, artifactId=mall-mbg, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-portal\pom.xml;Dependency {groupId=com.macro.mall, artifactId=mall-security, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-portal\pom.xml;Dependency {groupId=org.springframework.boot, artifactId=spring-boot-starter-amqp, version=null, type=jar};UNUSED
